Station	Use	Bact (cell mL-1)	Proc (cell mL-1)	Syne (cell mL-1)	Pico (cell mL-1)	Nano (cell mL-1)
Biovol (Âµm3)	0	0.25	0.68	0.86	2.76	284
C_content (pgC)	0	0.015	0.029	0.08	0.73	15
O22_21	0	106000.000	0.000	2.710	25.800	9.500
O22_22	0	281000.000	5180.000	200.000	25000.000	1620.000
O22_24	0	551000.000	0.000	1700.000	525.000	604.000
O23_21	1	145000.000	0.000	27.100	62.400	19.000
O23_22	1	336000.000	2830.000	620.000	15400.000	1890.000
O23_24	1	573000.000	55100.000	8390.000	4120.000	919.000
O24_21	0	300000.000	0.000	153.000	21.700	84.200
O24_22	0	436000.000	1280.000	2760.000	341.000	1380.000
O24_24	0	764000.000	35900.000	31600.000	6890.000	5180.000
O25_21	1	207000.000	0.000	52.900	8.140	14.900
O25_22	1	562000.000	0.000	6870.000	5070.000	972.000
O25_24	1	505000.000	0.000	9020.000	7950.000	1700.000
O12_21	1	166000.000	0.000	32.400	5.410	12.200
O12_10	1	528000.000	0.000	985.000	1870.000	468.000
O12_12	1	622000.000	0.000	1290.000	4150.000	1130.000
TNS06_21	1	187000.000	0.000	29.000	8.280	23.500
TNS06_22	1	399000.000	0.000	507.000	1710.000	1320.000
TNS06_24	1	394000.000	0.000	574.000	1800.000	2060.000
TNS08_21	1	159000.000	0.000	8.110	2.700	17.600
TNS08_22	1	381000.000	0.000	161.000	749.000	299.000
TNS08_24	1	380000.000	0.000	180.000	1440.000	898.000
A3_1_21	1	179000.000	0.000	31.700	6.900	37.300
A3_1_22	1	377000.000	0.000	218.000	1840.000	860.000
A3_1_24	1	366000.000	0.000	195.000	1750.000	1130.000
A3_2_21	1	199000.000	0.000	33.800	12.200	18.900
A3_2_22	1	832000.000	0.000	141.000	1130.000	469.000
A3_2_24	1	488000.000	0.000	176.000	1200.000	389.000
KERFIX_21	1	181000.000	0.000	48.300	99.400	38.600
KERFIX_22	1	310000.000	0.000	168.000	4700.000	744.000
KERFIX_24	1	289000.000	0.000	156.000	4730.000	639.000
FS_21	1	154000.000	0.000	9.660	9.660	12.400
FS_22	1	281000.000	0.000	88.300	3210.000	454.000
FS_24	1	281000.000	0.000	93.900	4530.000	701.000
O11_21	1	120000.000	0.000	0.000	1.420	1.420
O11_22	1	250000.000	0.000	11.300	2940.000	845.000
O11_24	1	230000.000	0.000	34.000	3200.000	800.000
SI_21	1	123000.000	0.000	0.000	1.420	7.090
SI_22	1	213000.000	0.000	0.000	1640.000	567.000
SI_24	1	188000.000	0.000	0.000	1620.000	610.000
